link,form
adrenal frequency plot.png,adrenal
adrenal survival plot.png,adrenal
bile duct frequency plot.png,bile duct
bile duct survival plot.png,bile duct
bladder frequency plot.png,bladder
bladder survival plot.png,bladder
bone frequency plot.png,bone
bone survival plot.png,bone
brain frequency plot.png,brain
brain survival plot.png,brain
breast frequency plot.png,breast
breast survival plot.png,breast
cervix frequency plot.png,cervix
cervix survival plot.png,cervix
colorectal frequency plot.png,colorectal
colorectal survival plot.png,colorectal
esophagus frequency plot.png,esophagus
esophagus survival plot.png,esophagus
eye frequency plot.png,eye
eye survival plot.png,eye
head and neck frequency plot.png,head and neck
head and neck survival plot.png,head and neck
kidney frequency plot.png,kidney
kidney survival plot.png,kidney
liver frequency plot.png,liver
liver survival plot.png,liver
lungs frequency plot.png,lungs
lungs survival plot.png,lungs
lymph nodes frequency plot.png,lymph nodes
lymph nodes survival plot.png,lymph nodes
nervous frequency plot.png,nervous system
nervous survival plot.png,nervous system
ovary frequency plot.png,ovary
ovary survival plot.png,ovary
pancreas frequency plot.png,pancreas
pancreas survival plot.png,pancreas
pleura frequency plot.png,pleura
pleura survival plot.png,pleura
prostate frequency plot.png,prostate
prostate survival plot.png,prostate
skin frequency plot.png,skin
skin survival plot.png,skin
soft tissue frequency plot.png,soft tissue
soft tissue survival plot.png,soft tissue
stomach frequency plot.png,stomach
stomach survival plot.png,stomach
testis frequency plot.png,testis
testis survival plot.png,testis
thymus frequency plot.png,thymus
thymus survival plot.png,thymus
thyroid frequency plot.png,thyroid
thyroid survival plot.png,thyroid
uterus frequency plot.png,uterus
uterus survival plot.png,uterus
